Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Height_cm,Weight_kg,PTS,REB,AST,School
Paolo Banchero,5,FR,F,6-10,250.0,"Seattle, WA",O'Dea HS,2 (2021),208.3,113.4,17.2,7.8,3.2,duke
Wendell Moore,0,JR,F,6-5,216.0,"Charlotte, NC",Cox Mill (NC),25 (2019),195.6,98.0,13.4,5.3,4.4,duke
Mark Williams,15,SO,C,7-0,243.0,"Virginia Beach, VA",IMG Academy,25 (2020),213.4,110.2,11.2,7.4,0.9,duke
Trevor Keels,1,FR,G,6-4,221.0,"Clinton, MD",Paul VI HS,19 (2021),193.0,100.2,11.5,3.4,2.7,duke
AJ Griffin,21,FR,F,6-6,222.0,"White Plains, NY",Archbishop Stepinac HS,18 (2021),198.1,100.7,10.4,3.9,1.0,duke
Jeremy Roach,3,SO,G,6-1,175.0,"Leesburg, VA",Paul VI HS,20 (2020),185.4,79.4,8.6,2.4,3.2,duke
Joey Baker,13,SR,F,6-6,201.0,"Fayetteville, NC",Trinity Christian School,37 (2018),198.1,91.2,4.5,1.2,0.4,duke
Theo John,12,SR,F,6-9,255.0,"Minneapolis, MN",Champlin Park High School,,205.7,115.7,2.8,2.5,0.4,duke
Bates Jones,25,SR,F,6-8,225.0,"Charlotte, NC",Charlotte Latin High School,,203.2,102.1,1.4,1.1,0.4,duke
Jaylen Blakes,2,FR,G,6-1,208.0,"Somerset, NJ",Blair Academy HS,,185.4,94.3,1.0,0.7,0.5,duke
Michael Savarino,30,JR,G,6-0,185.0,"Durham, NC",Durham Academy,,182.9,83.9,1.1,0.5,0.0,duke
Keenan Worthington,45,JR,F,6-9,225.0,"Chapel Hill, NC",Blair Academy,,205.7,102.1,0.3,1.3,0.0,duke
Spencer Hubbard,55,,G,5-8,160.0,"Los Angeles, CA",Harvard Westlake HS,,172.7,72.6,0.3,0.3,0.0,duke
Stanley Borden,52,,C,7-0,240.0,"Istanbul, TÃ¼rkiye",Istanbul Int'l Community School,,213.4,108.9,0.0,1.0,0.0,duke
Drew Timme,2,JR,F,6-10,235.0,"Richardson, TX",Pearce (TX),42 (2019),208.3,106.6,18.4,6.8,2.8,gonzaga
Chet Holmgren,34,FR,C,7-0,195.0,"Minneapolis, MN",Minnehaha HS,1 (2021),213.4,88.5,14.1,9.9,1.9,gonzaga
Andrew Nembhard,3,SR,G,6-5,193.0,"Aurora, Canada",Montverde Academy,25 (2018),195.6,87.5,11.8,3.4,5.8,gonzaga
Julian Strawther,0,SO,G,6-7,205.0,"Las Vegas, NV",Liberty HS,58 (2020),200.7,93.0,11.8,5.4,1.0,gonzaga
Rasir Bolton,45,SR,G,6-3,185.0,"Petersburg, VA",Massanutten Academy,,190.5,83.9,11.2,2.4,2.3,gonzaga
Anton Watson,22,JR,F,6-8,225.0,"Spokane, WA",Gonzaga Prep,48 (2019),203.2,102.1,7.3,4.7,1.9,gonzaga
Nolan Hickman,11,FR,G,6-2,185.0,"Seattle, WA",Wasatch Academy,26 (2021),188.0,83.9,5.1,1.5,1.3,gonzaga
Hunter Sallis,10,FR,G,6-5,175.0,"Omaha, NE",Millard North HS,15 (2021),195.6,79.4,4.3,2.0,0.6,gonzaga
