Unnamed: 0,Unnamed: 1,Unnamed: 2,Round 1,Round 1.1,Unnamed: 5,Totals,Totals.1,Totals.2,Totals.3,Totals.4,Shooting,Shooting.1,Shooting.2,Per Game,Per Game.1,Per Game.2,Per Game.3,Advanced,Advanced.1,Advanced.2,Advanced.3
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,4,208,7014,4588,1121,1530,.446,.339,.853,33.7,22.1,5.4,7.4,7.0,.048,1.0,5.2
3,3,CLE,Evan Mobley,USC,4,269,8745,4412,2408,784,.548,.315,.694,32.5,16.4,9.0,2.9,28.3,.155,2.3,9.5
4,4,TOR,Scottie Barnes,Florida State,4,276,9523,4756,2065,1368,.466,.300,.761,34.5,17.2,7.5,5.0,19.4,.098,1.7,8.9
5,5,ORL,Jalen Suggs,Gonzaga,4,211,5580,2598,702,698,.419,.329,.779,26.4,12.3,3.3,3.3,5.6,.048,-1.1,1.3
8,8,ORL,Franz Wagner,Michigan,4,291,9398,5552,1408,1067,.474,.322,.856,32.3,19.1,4.8,3.7,21.4,.109,0.8,6.6
9,9,SAC,Davion Mitchell,Baylor,4,301,6651,2278,533,995,.442,.344,.698,22.1,7.6,1.8,3.3,6.0,.043,-3.1,-1.9
10,10,NOP,Ziaire Williams,Stanford,4,213,4486,1763,675,259,.421,.316,.811,21.1,8.3,3.2,1.2,4.7,.050,-3.4,-1.6
11,11,CHO,James Bouknight,UConn,3,79,900,383,133,73,.363,.335,.762,11.4,4.8,1.7,0.9,-0.3,-.017,-5.9,-0.9
12,12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,.371,.300,.750,19.1,5.7,2.3,1.8,-0.2,-.011,-5.3,-0.9
13,13,IND,Chris Duarte,Oregon,4,177,3231,1348,467,231,.406,.349,.813,18.3,7.6,2.6,1.3,1.9,.028,-3.0,-0.8
14,14,GSW,Moses Moody,Arkansas,4,255,4229,1787,570,227,.449,.367,.775,16.6,7.0,2.2,0.9,8.5,.097,-1.2,0.8
15,15,WAS,Corey Kispert,Gonzaga,4,292,7563,3229,822,431,.474,.382,.805,25.9,11.1,2.8,1.5,9.3,.059,-2.3,-0.6
17,17,MEM,Trey Murphy III,Virginia,4,251,6856,3448,976,462,.454,.383,.875,27.3,13.7,3.9,1.8,18.4,.129,1.3,5.7
18,18,OKC,Tre Mann,Florida,4,181,3856,1707,513,415,.411,.350,.788,21.3,9.4,2.8,2.3,1.9,.024,-3.3,-1.2
